holding_costs,holding_costs_rf,max_holding,return,std,trans_costs,turnover
0.0,0.0,1.0,-0.006396864153424331,0.08389179717482081,0.0001,9.587878570551046
0.0005,0.0,1.0,0.007065941078188809,0.07928509415090172,0.0001,5.95372499080393
0.001,0.0,1.0,0.016970840019056244,0.08171360217875238,0.0001,4.334658507030139
0.02,0.0,1.0,0.043217429227904613,0.0974884061314849,0.0001,0.541323205234433
0.05,0.0,1.0,0.044872232790245103,0.09873386033754274,0.0001,0.319099455884594
0.0,0.0,1.0,0.0034122420364728345,0.08241054039724928,0.0005,6.283412186785111
0.0005,0.0,1.0,0.015817274698781025,0.07954154404438935,0.0005,3.7820955263957456
0.001,0.0,1.0,0.023596301301029632,0.08248786467632935,0.0005,2.769477522070702
0.02,0.0,1.0,0.04391228489517274,0.09767832158658075,0.0005,0.3970611014559362
0.05,0.0,1.0,0.04516022627030658,0.0988145208587673,0.0005,0.2596742651690543
0.0,0.0,1.0,0.009121744686370059,0.08163780622752381,0.001,4.692669720255996
0.0005,0.0,1.0,0.020048174221502624,0.0796192648890094,0.001,2.835258373271299
0.001,0.0,1.0,0.02703190779319442,0.08278350488852193,0.001,2.077234577253497
0.02,0.0,1.0,0.04430521205694338,0.09776780552665174,0.001,0.3320809190824441
0.05,0.0,1.0,0.04532364147329204,0.09885311419981378,0.001,0.23291337239533644
0.0,0.0,1.0,0.03261609927418041,0.07357828016551073,0.004,0.9651883855077502
0.0005,0.0,1.0,0.035843612980022144,0.07692238086836355,0.004,0.7116943678627332
0.001,0.0,1.0,0.03860370627854226,0.08133220069690113,0.004,0.579760226519573
0.02,0.0,1.0,0.04540651297669962,0.09778688392915692,0.004,0.20450717170629568
0.05,0.0,1.0,0.04577826445918132,0.09886481930843274,0.004,0.1806163920939704
0.0,0.0,1.0,0.049323275336893735,0.05112157161695383,0.008,0.16816332052250163
0.0005,0.0,1.0,0.05002256088633028,0.06793545850176867,0.008,0.19036202813993375
0.001,0.0,1.0,0.049032539354165516,0.0766414796156622,0.008,0.19438528996019463
0.02,0.0,1.0,0.046247986751734915,0.09758967831023631,0.008,0.16941611902466144
0.05,0.0,1.0,0.0461215579298917,0.0987864830279978,0.008,0.16619360037778236
0.0,0.0,1.0,0.06686371996558571,0.04813956529790252,0.015,0.08192462566058616
0.0005,0.0,1.0,0.05694604641139511,0.04477369273174814,0.015,0.10847327499403624
0.001,0.0,1.0,0.05340577243554456,0.05804817145499205,0.015,0.12818271924376937
0.02,0.0,1.0,0.04662832345229351,0.09648635375525359,0.015,0.1613936335220296
0.05,0.0,1.0,0.04627786741351536,0.09834898802753718,0.015,0.16285511733260213
